Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,60.439999,60.669998,60.230000,60.580002,54.964684,11944700
2020-01-03,61.130001,61.310001,60.099998,60.400002,54.801365,29502900
2020-01-06,60.610001,61.180000,60.400002,60.869999,55.227795,22458100
2020-01-07,60.700001,60.770000,60.000000,60.709999,55.082626,11462500
2020-01-08,60.650002,60.720001,59.630001,59.709999,54.175320,19021400
2020-01-09,59.680000,60.209999,58.980000,60.150002,54.574539,15366800
2020-01-10,60.119999,60.169998,59.740002,59.810001,54.266056,9151200
2020-01-13,59.720001,60.020000,59.410000,59.830002,54.284206,8778500
2020-01-14,59.700001,59.910000,59.310001,59.840000,54.293274,17339000
2020-01-15,59.580002,59.759998,59.230000,59.400002,53.894058,10830800
2020-01-16,59.750000,59.950001,59.470001,59.500000,53.984791,8224500
2020-01-17,59.660000,59.689999,59.020000,59.119999,53.640011,11909100
2020-01-21,58.790001,58.799999,57.959999,58.060001,52.678272,17354600
2020-01-22,57.950001,57.990002,57.340000,57.500000,52.170166,14677700
2020-01-23,56.900002,57.459999,56.459999,57.279999,51.970566,13278000
2020-01-24,57.020000,57.279999,56.180000,56.619999,51.371742,20390600
2020-01-27,55.480000,55.700001,54.980000,55.049999,49.947273,21682500
2020-01-28,55.360001,55.639999,55.080002,55.299999,50.174099,14300100
2020-01-29,55.610001,55.810001,54.650002,54.720001,49.647858,13745400
2020-01-30,54.150002,55.220001,54.009998,55.160000,50.047070,24430500
2020-01-31,54.230000,54.380001,53.160000,53.439999,48.486507,33430500
2020-02-03,53.369999,53.450001,52.549999,52.740002,47.851391,21289200
2020-02-04,53.500000,53.919998,52.830002,52.930000,48.023781,19819800
2020-02-05,53.810001,55.110001,53.779999,54.919998,49.829327,34382000
2020-02-06,55.180000,55.180000,54.270000,54.360001,49.321228,15400600
2020-02-07,53.950001,54.209999,53.700001,53.980000,48.976456,13693300
2020-02-10,53.700001,53.830002,53.380001,53.709999,48.731476,14640600
2020-02-11,54.439999,54.520000,54.070000,54.310001,49.275867,13844600
2020-02-12,55.119999,55.349998,54.590000,55.040001,49.938198,17199800
2020-02-13,54.889999,55.180000,54.549999,54.869999,49.783955,11974900
2020-02-14,55.060001,55.099998,54.240002,54.580002,49.520836,12520000
2020-02-18,54.099998,54.570000,53.630001,54.130001,49.112545,16314700
2020-02-19,54.490002,55.070000,54.189999,54.849998,49.765808,12455400
2020-02-20,54.990002,55.400002,54.650002,54.790001,49.711372,13050800
2020-02-21,54.270000,54.320000,53.689999,54.139999,49.121620,13808200
2020-02-24,52.099998,52.400002,51.480000,51.639999,46.853355,33037500
2020-02-25,51.779999,51.820000,49.040001,49.360001,44.784695,42837300
2020-02-26,49.540001,49.779999,47.849998,47.869999,43.432804,48828300
2020-02-27,46.630001,47.529999,45.290001,45.310001,41.110100,61278700
2020-02-28,43.880001,45.840000,43.520000,45.270000,41.073803,68755800
2020-03-02,46.279999,47.160000,44.930000,47.099998,42.734173,36642700
2020-03-03,47.369999,47.990002,45.150002,45.660000,41.427654,48595300
2020-03-04,46.639999,46.750000,45.669998,46.740002,42.407539,24484500
2020-03-05,45.400002,45.610001,44.279999,45.029999,40.856045,29387300
2020-03-06,43.500000,43.889999,41.860001,42.500000,38.560566,61517400
2020-03-09,35.070000,36.430000,33.730000,33.939999,30.794008,66556900
2020-03-10,36.669998,36.820000,33.360001,35.549999,32.254776,48431100
2020-03-11,34.450001,35.049999,33.130001,33.669998,30.549036,43477300
2020-03-12,31.190001,32.000000,29.379999,29.469999,26.738346,38829100
2020-03-13,31.959999,32.220001,28.799999,32.189999,29.206221,34098400
2020-03-16,27.950001,31.120001,27.670000,27.809999,25.232218,40233600
2020-03-17,28.080000,29.180000,26.950001,28.000000,25.404608,45443600
2020-03-18,26.040001,26.580000,22.879999,23.980000,21.757231,52135800
2020-03-19,24.330000,25.709999,22.980000,25.610001,23.236141,52226500
2020-03-20,26.260000,26.840000,24.760000,25.860001,23.462969,58357200
2020-03-23,25.129999,25.290001,23.150000,23.570000,21.863768,48260200
2020-03-24,25.400000,27.490000,25.400000,27.350000,25.370134,44511100
2020-03-25,27.950001,30.000000,26.740000,28.639999,26.566751,52434900
2020-03-26,28.930000,31.000000,28.570000,30.389999,28.190067,46918100
2020-03-27,29.120001,29.209999,28.160000,28.330000,26.279194,36528400
2020-03-30,27.950001,28.870001,27.090000,28.620001,26.548199,42127400
2020-03-31,29.420000,30.000000,28.480000,29.059999,26.956348,34350600
2020-04-01,28.120001,28.480000,27.230000,27.620001,25.620588,23826500
2020-04-02,29.010000,31.760000,28.260000,30.150000,27.967442,73128100
2020-04-03,31.100000,31.309999,28.980000,29.830000,27.670605,63834300
2020-04-06,30.500000,31.620001,30.090000,31.410000,29.136230,38020700
2020-04-07,32.959999,33.869999,32.020000,32.080002,29.757732,51509500
2020-04-08,32.759998,34.330002,32.490002,34.220001,31.742815,41905800
2020-04-09,35.540001,36.459999,32.619999,33.910000,31.455256,91327600
2020-04-13,35.090000,35.220001,33.259998,33.799999,31.353222,33842800
2020-04-14,33.970001,34.380001,33.419998,33.639999,31.204802,36324100
2020-04-15,32.299999,32.380001,31.059999,32.060001,29.739180,36710500
2020-04-16,31.980000,32.080002,30.650000,30.690001,28.468353,32302900
2020-04-17,31.330000,33.990002,31.309999,33.950001,31.492365,45853400
