Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,27.312500,29.468750,25.875000,27.312500,16.105865,5903600
2000-02-01,27.312500,27.609375,24.625000,26.156250,15.424033,4213000
2000-03-01,26.015625,30.218750,25.937500,29.312500,17.285234,8607600
2000-04-01,29.500000,30.156250,27.515625,28.875000,17.084299,5818900
2000-05-01,29.187500,32.312500,29.000000,32.265625,19.090414,5148800
2000-06-01,32.156250,32.500000,30.093750,30.343750,17.953300,4563100
2000-07-01,30.187500,31.046875,28.281250,29.187500,17.352705,4206700
2000-08-01,29.437500,33.375000,29.437500,32.375000,19.247759,3902900
2000-09-01,32.281250,34.468750,31.000000,32.765625,19.479990,17712900
2000-10-01,32.937500,34.750000,30.875000,31.875000,19.032425,14760000
2000-11-01,32.125000,33.125000,29.906250,30.203125,18.034155,7471000
2000-12-01,30.250000,33.937500,30.125000,33.187500,19.816111,5079100
2001-01-01,33.750000,34.109375,30.187500,32.130001,19.242041,4092000
2001-02-01,32.130001,34.040001,31.549999,31.740000,19.008474,4613800
2001-03-01,31.850000,34.349998,29.450001,30.700001,18.385635,6845600
2001-04-01,30.500000,34.240002,29.049999,33.869999,20.345612,4746100
2001-05-01,33.580002,34.900002,31.809999,33.549999,20.153389,9348600
2001-06-01,33.500000,34.029999,29.840000,30.350000,18.231153,6929900
2001-07-01,30.200001,30.719999,28.250000,30.000000,18.105553,5077900
2001-08-01,30.350000,30.480000,28.500000,28.730000,17.339081,5719600
2001-09-01,28.740000,29.320000,23.750000,25.820000,15.582846,11451900
2001-10-01,25.600000,28.900000,25.030001,26.860001,16.301685,11513200
2001-11-01,26.790001,27.530001,24.000000,25.360001,15.391316,24805800
2001-12-01,25.230000,27.219999,24.700001,26.700001,16.204573,6896300
2002-01-01,26.700001,28.000000,23.200001,25.750000,15.692404,5965000
2002-02-01,25.770000,27.000000,24.830000,26.629999,16.228697,11707000
2002-03-01,26.980000,29.250000,26.719999,28.889999,17.605963,8185500
2002-04-01,29.049999,29.520000,27.030001,27.850000,17.029400,8995000
2002-05-01,27.650000,28.500000,26.780001,27.360001,16.729773,5860200
2002-06-01,27.250000,27.250000,25.250000,26.200001,16.020479,4299400
2002-07-01,26.260000,26.350000,19.379999,22.570000,13.884016,13229800
2002-08-01,22.180000,23.990000,20.120001,22.910000,14.093174,5151900
2002-09-01,22.400000,23.260000,20.510000,21.160000,13.016648,4293500
2002-10-01,21.200001,22.860001,20.190001,21.549999,13.328762,7631100
2002-11-01,21.549999,22.559999,20.799999,22.440001,13.879234,3982100
2002-12-01,22.530001,23.379999,21.950001,22.330000,13.811196,6810800
2003-01-01,22.450001,23.070000,20.459999,21.770000,13.534300,8272700
2003-02-01,21.799999,22.830000,21.059999,22.410000,13.932190,8332200
2003-03-01,22.360001,22.850000,21.450001,22.320000,13.876226,14874300
2003-04-01,22.350000,22.780001,21.809999,22.129999,13.830456,9953800
2003-05-01,22.320000,24.639999,21.980000,24.480000,15.299125,11640100
2003-06-01,24.600000,25.799999,24.049999,24.049999,15.030385,7342300
2003-07-01,23.889999,24.110001,22.920000,23.200001,14.568880,6841400
2003-08-01,23.250000,24.700001,22.730000,24.680000,15.498274,8117500
2003-09-01,24.610001,25.049999,23.750000,24.049999,15.102652,5283600
2003-10-01,24.000000,25.080000,23.760000,24.280001,15.323870,6555900
2003-11-01,24.320000,24.709999,23.900000,24.469999,15.443774,4802200
2003-12-01,24.590000,28.000000,24.500000,27.549999,17.387661,14588400
2004-01-01,27.809999,29.110001,27.400000,28.170000,17.858812,21490000
2004-02-01,28.240000,29.750000,27.520000,29.650000,18.797068,14154400
2004-03-01,29.870001,30.480000,28.010000,29.340000,18.600544,22773100
2004-04-01,29.389999,31.040001,28.910000,29.840000,18.997896,25964500
2004-05-01,29.930000,30.799999,28.650000,29.750000,18.940596,36946800
2004-06-01,30.030001,31.990000,29.540001,31.480000,20.042011,39628800
2004-07-01,31.600000,32.730000,31.309999,32.450001,20.741859,24797700
2004-08-01,32.500000,32.849998,30.559999,31.950001,20.422258,48803700
2004-09-01,32.000000,35.279999,31.959999,34.930000,22.327061,47898000
2004-10-01,35.049999,36.830002,34.349998,35.139999,22.550840,66058100
2004-11-01,35.349998,37.900002,34.320000,37.509998,24.071772,77605300
2004-12-01,37.400002,37.529999,34.759998,36.320000,23.308094,71242100
2005-01-01,36.099998,37.709999,34.540001,37.549999,24.184986,77167200
2005-02-01,37.759998,44.750000,37.709999,43.849998,28.242666,90268200
2005-03-01,43.750000,45.139999,40.779999,42.869999,27.611462,252411200
2005-04-01,43.430000,44.480000,39.410000,40.549999,26.204163,366081900
2005-05-01,40.490002,42.090000,37.939999,41.680000,26.934406,318560300
2005-06-01,41.919998,46.150002,41.810001,44.450001,28.724422,285274700
2005-07-01,44.509998,48.480000,44.509998,47.599998,30.856167,283648100
2005-08-01,47.820000,50.889999,46.869999,50.639999,32.826809,302465300
2005-09-01,51.299999,54.650002,50.439999,53.669998,34.790970,307291200
2005-10-01,54.049999,54.299999,44.939999,48.820000,31.737474,597461500
2005-11-01,48.560001,51.340000,46.730000,49.549999,32.212055,421911900
2005-12-01,49.950001,53.189999,49.459999,50.310001,32.706116,362386100
2006-01-01,50.630001,58.279999,50.630001,57.660000,37.582413,445269600
2006-02-01,57.490002,58.070000,51.090000,52.340000,34.114872,554313800
2006-03-01,52.740002,55.700001,50.549999,54.400002,35.457569,511031000
2006-04-01,54.750000,59.849998,54.250000,57.139999,37.353836,424460600
2006-05-01,57.549999,60.150002,52.150002,55.549999,36.314404,557877800
2006-06-01,55.000000,57.180000,50.009998,56.750000,37.098877,676643200
2006-07-01,57.049999,58.980000,54.250000,58.650002,38.482807,367825600
2006-08-01,58.540001,59.880001,55.540001,55.669998,36.527508,363097400
2006-09-01,56.000000,57.270000,50.169998,53.450001,35.070862,517274100
2006-10-01,53.220001,57.450001,50.200001,55.730000,36.692123,565978700
2006-11-01,55.619999,60.830002,54.720001,60.509998,39.839226,450946200
2006-12-01,60.110001,62.130001,58.189999,58.630001,38.601471,362478200
2007-01-01,58.310001,58.389999,53.889999,58.090000,38.360237,650083100
2007-02-01,58.099998,59.529999,56.450001,56.900002,37.574409,416980800
2007-03-01,56.320000,61.160000,54.939999,60.279999,39.806412,570962300
2007-04-01,60.259998,64.750000,60.189999,63.369999,41.984203,353589200
2007-05-01,63.439999,69.070000,62.980000,68.300003,45.250465,454866200
2007-06-01,68.639999,71.449997,66.790001,68.989998,45.707600,405407800
2007-07-01,69.110001,74.730003,68.110001,69.000000,45.846958,519811400
2007-08-01,68.669998,70.300003,62.730000,69.830002,46.398468,619540900
2007-09-01,69.599998,76.300003,68.779999,74.800003,49.700771,347598700
2007-10-01,74.750000,78.500000,72.669998,76.699997,51.097317,486212900
2007-11-01,75.570000,77.750000,69.610001,73.470001,48.945496,510613800
2007-12-01,72.879997,80.599998,72.879997,79.349998,52.862728,338488100
2008-01-01,79.949997,80.750000,62.970001,69.599998,46.486694,611609700
2008-02-01,70.519997,79.019997,66.930000,76.050003,50.794708,446371500
2008-03-01,76.099998,77.730003,68.849998,74.059998,49.465576,534668200
2008-04-01,73.800003,85.290001,73.349998,81.750000,54.759045,466347800
2008-05-01,80.720001,91.419998,78.430000,86.000000,57.605846,565475400
2008-06-01,85.580002,89.720001,83.389999,88.480003,59.267056,637709600
2008-07-01,88.169998,90.160004,71.849998,74.400002,49.967369,850202500
2008-08-01,74.449997,76.910004,68.349998,74.650002,50.135269,723578600
2008-09-01,72.099998,78.099998,59.130001,63.299999,42.512550,1015421500
2008-10-01,62.700001,69.919998,38.840000,51.400002,34.631779,1369309600
2008-11-01,50.599998,53.299999,39.820000,50.279999,33.877167,875175200
2008-12-01,48.250000,50.790001,40.529999,47.770000,32.185986,777758400
2009-01-01,48.200001,53.189999,43.959999,46.919998,31.777271,845359300
2009-02-01,45.939999,50.770000,40.279999,41.130001,27.855925,755773300
2009-03-01,40.189999,46.650002,37.400002,42.459999,28.756676,829776000
2009-04-01,41.500000,47.750000,41.470001,45.779999,31.164566,464059600
2009-05-01,45.959999,52.349998,45.740002,51.680000,35.180969,452274600
2009-06-01,52.680000,57.709999,46.310001,48.049999,32.709854,513829100
